num,phoneme,word
185,py o N py o N,ぴょんぴょん
186,h i r a h i r a,ひらひら
187,p i r i q,ぴりっ
188,h i r i h i r i,ひりひり
189,b i r i b i r i,びりびり
190,p i N p i N,ぴんぴん
191,p i N p o N,ぴんぽん
192,h i N y a r i,ひんやり
193,f u: f u:,ふーふー
194,b u: b u:,ぶーぶー
195,f u k a f u k a,ふかふか
196,b u k a b u k a,ぶかぶか
197,p u k a p u k a,ぷかぷか
198,b u k u b u k u,ぶくぶく
199,f u s a f u s a,ふさふさ
200,p u sh u q,ぷしゅっ
201,f u q k u r a,ふっくら
202,b u ts u b u ts u,ぶつぶつ
203,f u r a f u r a,ふらふら
204,b u r a b u r a,ぶらぶら
205,p u r i p u r i,ぷりぷり
206,b u r u b u r u,ぶるぶる
207,f u w a f u w a,ふわふわ
208,p u N p u N,ぷんぷん
209,b u N b u N,ぶんぶん
210,p e k o p e k o,ぺこぺこ
211,p e k o r i,ぺこり
212,b e t a b e t a,べたべた
213,p e ch a N k o,ぺちゃんこ
214,h e t o h e t o,へとへと
215,h e n a h e n a,へなへな
216,p e r a p e r a,ぺらぺら
217,b e r o b e r o,べろべろ
218,p e r o p e r o,ぺろぺろ
219,p o i q,ぽいっ
220,b o: q t o,ぼうっと
221,h o: h o:,ほーほー
222,b o: b o:,ぼーぼー
223,h o: h o k e ky o,ほーほけきょ
224,p o k a p o k a,ぽかぽか
225,p o k a N,ぽかん
226,h o k u h o k u,ほくほく
227,b o k o b o k o,ぼこぼこ
228,b o s a b o s a,ぼさぼさ
229,p o t a p o t a,ぽたぽた
230,p o ch a N,ぽちゃん
231,p o ts u p o ts u,ぽつぽつ
232,b o r i b o r i,ぼりぼり
233,b o r o b o r o,ぼろぼろ
234,m a j i m a j i,まじまじ
235,m a r u m a r u,まるまる
236,m u k a m u k a,むかむか
237,m u k i m u k i,むきむき
238,m u sh i m u sh i,むしむし
239,m u z u m u z u,むずむず
240,m u sh a m u sh a,むしゃむしゃ
241,m u ch i m u ch i,むちむち
242,m u r a m u r a,むらむら
243,m e::,めぇー
244,m e r a m e r a,めらめら
245,m e r o m e r o,めろめろ
246,m o:,もー
247,m o j a m o j a,もじゃもじゃ
248,m o k u m o k u,もくもく
249,m o g u m o g u,もぐもぐ
250,m o j i m o j i,もじもじ
251,m o k o m o k o,もこもこ
252,m o t a m o t a,もたもた
253,m o ch i m o ch i,もちもち
254,m o t e m o t e,もてもて
255,m o m i m o m i,もみもみ
256,m o r i m o r i,もりもり
257,y u r a y u r a,ゆらゆら
258,y o b o y o b o,よぼよぼ
259,y o r e y o r e,よれよれ
260,y o r o y o r o,よろよろ
261,r i N r i N,りんりん
262,r u N r u N,るんるん
263,w a i w a i,わいわい
264,w a k u w a k u,わくわく
